condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.425944785952369,0.0,bartpho_lr3e5_ep7
N1,accent_removal,2,0.2989055157749015,0.12703927017746752,bartpho_lr3e5_ep7
N2,tone_confusion,2,0.40098986090297695,0.024954925049392063,bartpho_lr3e5_ep7
N3,vowel_diacritic_confusion,2,0.4126550989978289,0.013289686954540136,bartpho_lr3e5_ep7
N4,dd_confusion,2,0.4257521388799825,0.00019264707238653145,bartpho_lr3e5_ep7
N5,character_confusion,2,0.3806429314339529,0.04530185451841612,bartpho_lr3e5_ep7
N6,glyph_confusion,2,0.42483061368179525,0.0011141722705737545,bartpho_lr3e5_ep7
N7,character_deletion,2,0.3877410759989302,0.0382037099534388,bartpho_lr3e5_ep7
N10,token_deletion,2,0.40596608945980334,0.019978696492565673,bartpho_lr3e5_ep7
N13,line_shuffle,2,0.4184261708424161,0.007518615109952886,bartpho_lr3e5_ep7
N14,token_split,2,0.399967411255019,0.02597737469735001,bartpho_lr3e5_ep7
N16,money_noise,2,0.33603544867029217,0.08990933728207684,bartpho_lr3e5_ep7
N17,date_noise,2,0.41742938430366,0.008515401648709009,bartpho_lr3e5_ep7
N18,code_noise,2,0.415398054701926,0.010546731250443031,bartpho_lr3e5_ep7
N20,mixed_noise,2,0.2624939686731531,0.1634508172792159,bartpho_lr3e5_ep7
