condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.29632729088648063,0.0,bartpho_clean
N1,accent_removal,2,0.21529807305435433,0.0810292178321263,bartpho_clean
N2,tone_confusion,2,0.2861547424054908,0.010172548480989807,bartpho_clean
N3,vowel_diacritic_confusion,2,0.28869864256912875,0.007628648317351883,bartpho_clean
N4,dd_confusion,2,0.2948972540761799,0.0014300368103007388,bartpho_clean
N5,character_confusion,2,0.2728543277711825,0.023472963115298118,bartpho_clean
N6,glyph_confusion,2,0.2958177995052157,0.0005094913812649371,bartpho_clean
N7,character_deletion,2,0.2640665379711671,0.03226075291531355,bartpho_clean
N10,token_deletion,2,0.28022413164447413,0.016103159242006504,bartpho_clean
N13,line_shuffle,2,0.29081625181471116,0.005511039071769475,bartpho_clean
N14,token_split,2,0.2937020660300954,0.002625224856385222,bartpho_clean
N16,money_noise,2,0.24638629489886915,0.04994099598761148,bartpho_clean
N17,date_noise,2,0.29050824963788635,0.005819041248594281,bartpho_clean
N18,code_noise,2,0.28959306164362647,0.006734229242854162,bartpho_clean
N20,mixed_noise,2,0.20093054744384972,0.09539674344263091,bartpho_clean
