condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.7866526035759053,0.0,mt5_clean
N1,accent_removal,2,0.7646975570087899,0.021955046567115333,mt5_clean
N2,tone_confusion,2,0.7760926343717277,0.010559969204177566,mt5_clean
N3,vowel_diacritic_confusion,2,0.7805288333717527,0.006123770204152557,mt5_clean
N4,dd_confusion,2,0.7854914972217147,0.001161106354190533,mt5_clean
N5,character_confusion,2,0.7333167281092305,0.05333587546667473,mt5_clean
N6,glyph_confusion,2,0.7852638278800699,0.001388775695835398,mt5_clean
N7,character_deletion,2,0.762576063393762,0.024076540182143225,mt5_clean
N10,token_deletion,2,0.761484870564582,0.025167733011323246,mt5_clean
N13,line_shuffle,2,0.7762071943843405,0.01044540919156478,mt5_clean
N14,token_split,2,0.7668241934389471,0.01982841013695813,mt5_clean
N16,money_noise,2,0.7047496056326702,0.08190299794323508,mt5_clean
N17,date_noise,2,0.7771679932521539,0.009484610323751363,mt5_clean
N18,code_noise,2,0.7764631112474977,0.010189492328407601,mt5_clean
N20,mixed_noise,2,0.6402082053087647,0.14644439826714062,mt5_clean
