condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.7866526035759053,0.0,mt5_clean
N2,tone_confusion,1,0.7803144760513121,0.006338127524593173,mt5_clean
N2,tone_confusion,3,0.7614711292188089,0.02518147435709639,mt5_clean
N3,vowel_diacritic_confusion,1,0.7842636276733727,0.0023889759025326196,mt5_clean
N3,vowel_diacritic_confusion,3,0.7755098958278335,0.0111427077480718,mt5_clean
N4,dd_confusion,1,0.7870699542433311,-0.00041735066742587534,mt5_clean
N4,dd_confusion,3,0.7858335829772735,0.0008190205986318144,mt5_clean
N6,glyph_confusion,1,0.7856893211119451,0.0009632824639601578,mt5_clean
N6,glyph_confusion,3,0.7827865302030019,0.0038660733729033447,mt5_clean
N13,line_shuffle,1,0.783026348493098,0.003626255082807228,mt5_clean
N13,line_shuffle,3,0.7742205994832965,0.012432004092608806,mt5_clean
N14,token_split,1,0.7765969194182494,0.010055684157655898,mt5_clean
N14,token_split,3,0.7531655218617213,0.03348708171418402,mt5_clean
N17,date_noise,1,0.7836125823533648,0.0030400212225404344,mt5_clean
N17,date_noise,3,0.7741749355402207,0.01247766803568462,mt5_clean
N18,code_noise,1,0.7804124262790472,0.006240177296858107,mt5_clean
N18,code_noise,3,0.7678372768769626,0.018815326698942703,mt5_clean
