condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.853418847207459,0.0,vit_aug
N1,accent_removal,2,0.8348077019506082,0.018611145256850814,vit_aug
N2,tone_confusion,2,0.8425407424614271,0.010878104746031902,vit_aug
N3,vowel_diacritic_confusion,2,0.8441732238200096,0.009245623387449386,vit_aug
N4,dd_confusion,2,0.8519281588929015,0.0014906883145574534,vit_aug
N5,character_confusion,2,0.8479654141195497,0.005453433087909243,vit_aug
N6,glyph_confusion,2,0.8526147300974465,0.0008041171100124922,vit_aug
N7,character_deletion,2,0.8356670791894518,0.017751768018007152,vit_aug
N10,token_deletion,2,0.8362689397228715,0.017149907484587446,vit_aug
N13,line_shuffle,2,0.849206386486342,0.004212460721117028,vit_aug
N14,token_split,2,0.8440901360471148,0.009328711160344172,vit_aug
N16,money_noise,2,0.8421372737295882,0.011281573477870732,vit_aug
N17,date_noise,2,0.8536451903088021,-0.00022634310134317381,vit_aug
N18,code_noise,2,0.8507102017151935,0.00270864549226546,vit_aug
N20,mixed_noise,2,0.806152617540921,0.04726622966653793,vit_aug
