condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8397495762309721,0.0,consistency
N1,accent_removal,2,0.8248216090538771,0.014927967177094992,consistency
N2,tone_confusion,2,0.829605936667989,0.010143639562983142,consistency
N3,vowel_diacritic_confusion,2,0.8357181564425451,0.004031419788427026,consistency
N4,dd_confusion,2,0.8397336820317813,1.589419919079127e-05,consistency
N5,character_confusion,2,0.8368761559706049,0.0028734202603671877,consistency
N6,glyph_confusion,2,0.8389415926279252,0.0008079836030469023,consistency
N7,character_deletion,2,0.8224715323938532,0.01727804383711895,consistency
N10,token_deletion,2,0.82200550530031,0.017744070930662104,consistency
N13,line_shuffle,2,0.8351196547437848,0.004629921487187327,consistency
N14,token_split,2,0.8290422108189847,0.010707365411987468,consistency
N16,money_noise,2,0.8263359122250347,0.013413664005937465,consistency
N17,date_noise,2,0.8395599984340413,0.00018957779693085097,consistency
N18,code_noise,2,0.8370134823445764,0.0027360938863957296,consistency
N20,mixed_noise,2,0.7911205411877049,0.04862903504326721,consistency
